業界,概要文
自動車部品・カー用品製造業界の会社,岡山県井原市にて、自動車部品や農機具部品の製造を行っている。
高齢者向け福祉業界の会社,神奈川県横浜市を中心に、様々な介護サービス事業を展開している。また介護保険外のサービスや福祉用具のレンタル・販売も行う。ほか介護福祉士の実務者研修や求職者支援訓練などを行うスクール事業も手がけている。
自動車部品・カー用品製造業界の会社,アルパインブランドのカー用品を、マーケティングや企画および開発から製造、販売まで手掛ける。取り扱う製品には、カーナビをはじめ、後席モニターやカーオーディオ、ドライブレコーダーなどがある。自社ウェブショップでの販売も行っている。
ホテル・旅館業界の会社,温泉旅館「安房温泉 紀伊乃国屋」や「お宿ひるた」や「ビーチサイド温泉リゾート ゆうみ」などを運営する。同グループの旅館では南房総で水揚げされたばかりの魚介や地下600メートルから湧出する天然温泉などを楽しむことができる。
Webサービス・アプリ運営業界の会社,日本で登録された商品を中国の顧客が購入し、商品が発送されるまでを一貫して管理する中国向けワンストップ型越境ECプラットフォーム「豌豆(ワンドウ)プラットフォーム」を運営する。また、越境ECアプリ「豌豆公主（ワンドウ）」の運営を手掛ける。さらに、中国のSNSを活用したマーケティング支援なども行う。
ホテル・旅館業界の会社,箱根湯本温泉郷にて温泉付きホテル「天成園」を運営する会社。縁結びの神とされる九頭龍神社参拝のための連泊プラン「九頭龍神社参拝プラン」や、和室にベッドを備えた和モダン風客室「つゆくさ」「しおん」などのサービスを提供している。
Webサービス・アプリ運営業界の会社,様々な種類のライブチャットコンテンツの企画・開発および運営などを行っている会社である。また、ホームページの企画・立案や、情報ネットワーク関連通信システムの企画から設計、運営・管理までにわたる事業も行っている。
高齢者向け福祉業界の会社,北海道札幌市を拠点に、訪問看護および介護予防訪問看護業務を行う「新さっぽろ訪問看護ステーション椿」を運営する。
美容サロン業界の会社,東京都を中心に、ヘアサロン「AFLOAT」の運営を手掛ける。また、ヘアケア関連商品の企画および販売、プロモーション業務なども展開する。その他、自社Webサイトでのヘアケア用品の販売を行う。
警備業界の会社,北海道札幌市を拠点にセコムのグループ会社として、常駐警備サービスを専門に手掛ける。主に契約先施設内での安全管理、出入管理や立哨、巡回及び設備点検などを交替制による常駐警備サービスを提供する。
タクシー業界の会社,千葉県我孫子市内でタクシー業務を手掛ける。京成グループタクシー傘下である「合同タクシー株式会社」の 完全子会社。タクシー24両を保有し、全車ドライブレコーダー及びカーナビやクレジット決済機などを搭載している。従業員の2種免許取得費用を会社が全額負担している点が特徴。
ホテル・旅館業界の会社,滋賀県高島市において、「今津サンブリッジホテル」を運営する。また、「湖畔のレストランあしみ」の運営も行う。
ホテル・旅館業界の会社,日本ホテル株式会社のグループ会社として「ホテルメトロポリタン高崎」および「ホテルファミーオみなかみ」を運営する。「ホテルメトロポリタン高崎」は宿泊をはじめレストランやウエディングおよび各種宴会や会議などのサービスを提供。また「ホテルファミーオみなかみ」は水上温泉に立地する温泉宿泊施設である。
金属部品製造業界の会社,大阪府を拠点に、特殊品または標準品のロッドエンドの製造および卸売を手がけている。研磨機械や旋削機械、自社製のボールラップ盤などを用いて製造することが特徴。
自動車部品・カー用品製造業界の会社,自動車部品の製造を主力事業として行っている会社である。主に、鉄・ステンレスやアルミなどを使用し、プレス加工や溶接加工を行う。0.6mmから6mmまでの板厚と、50mmから600mm幅のコイル材加工が可能な点が特徴。また、住宅部材の製造も手掛けている。
美容サロン業界の会社,メンズヘアサロン「ヘアーサロンオオクシ」や美容サロン「ヘアカラーファクトリー」「カット：ビースタイル」の運営を行う。また、ノンエイジ・ユニセックスサロンやファミリー向けサロンなどを6ブランドを展開する。その他、グループ会社による独立支援や経営コンサルティング・研修も手掛ける。
タクシー業界の会社,神戸市を中心にタクシー業を営んでいる。通常のタクシー業務のほか、神戸空港と関西空港にて定額タクシーサービスを行っているのが特徴。また、神戸の観光施設をめぐる観光タクシーの運行も手掛けている。
高齢者向け福祉業界の会社,介護福祉施設「燦燦」の運営を手掛けている。ショートステイやロングステイのサービスを提供しており、施設利用者の健康管理や服薬管理の他、バイタルチェックなどを行う。その他にデイサービスおよびケアマネジメントサービスを提案。
ホテル・旅館業界の会社,琵琶湖湖畔に位置するリゾート型宿泊施設「びわこ緑水亭」を経営する会社である。「びわこ緑水亭」においては良質な眺望を売りにしており、エステ、マッサージといったサービスも提供している。またウェディング、披露宴等にも対応している。
高齢者向け福祉業界の会社,大阪府大阪市にて、訪問介護所「訪問介護ステーションさくらの樹」を運営している。主に、身体の介護や生活の援助を行う。
居住用リフォーム業界の会社,屋根の葺き替えや外壁工事などの住宅リフォーム工事を請け負う。社内には二級建築士をはじめ、一級建築板金技能士や建築板金基幹技能士など有資格者を多数持つ。小屋に特化した展示場も開設している。
金属部品製造業界の会社,島根県安来市にて、シャフトやピン、リングなどの精密機械器具の製造を手掛ける。また、NC旋盤を用いた加工や研磨加工なども行っている。
美容サロン業界の会社,カット専門美容室の運営を行っている会社。自社専用のWebページで待ち時間の確認や予約をすることができる。また、店舗で受付を行ってから外出して順番が近づいた時にメールで通知を送るシステムを導入している。
高齢者向け福祉業界の会社,通所介護を行うデイサービスセンターの運営を中心に行う会社である。専門のセラピストがマッサージや柔軟運動、関節の運動などを個人の身体状況に合わせて行う個別機能訓練を手がける。また、整骨院の運営やWeb求人サイト「げんきワーク」の運営も行っている。
金属部品製造業界の会社,東京ファブリック工業株式会社の金属製品の製造委託先として、橋梁用や高速道路用および鉄道用の金属部品を製造を手掛けている。また、木造および鉄骨製の住宅の建築や増改築などのリフォームなどにも対応。その他、工場や倉庫および事業所、店舗の建設も行う。
塾・受験予備校業界の会社,「英進館株式会社」を子会社に持つ。「英進館株式会社」は中学校受験から大学受験までの受験対策を行う予備校「英進館」の運営などを手掛ける。
自動車部品・カー用品製造業界の会社,千葉県南部と神奈川県東部において、カー用品販売「イエローハット」やサービスステーション「コスモ石油」の運営を手掛ける。また、自動車保険を中心とした損害保険の販売にも取り組む。
自動車部品・カー用品製造業界の会社,スイッチやリモコンを中心とした自動車部品の製造に携わる。また部品成型や樹脂塗装の他に組付まで取扱う。なおハンドル のステアリングスイ ッチ等に施す印字技術として、レーザーマーキング加工を施す。
塾・受験予備校業界の会社,フランチャイズ展開を行う予備校「武田塾」の運営を手掛ける。また、就労移行支援事業所「Shienグループ」の運営も行う。さらに、フランチャイズに関するコンサルティングも請け負う。
ホテル・旅館業界の会社,大分県の別府鉄輪温泉を保有する宿泊施設「ホテル山水館」の運営を手掛ける。また、露天風呂付きの客室を保有する点が特徴。
自動車部品・カー用品製造業界の会社,カーナビゲーションやETC、走行支援機器など自動車の電気および電子機器や関連部品の販売およびメンテナンスを行う。また、トヨタ自動車のカー用品販売店「ジェームス」を運営する。さらに、ドコモショップの運営や損害保険および生命保険の代理業も担う。
自動車部品・カー用品製造業界の会社,ブシュやベアリングスラスト、ワッシャといった自動車機能部品など、精密部品の製造・開発を行っている会社である。また金型・治工具は、CAD/CAMを用いて開発から製作および金属プレス、並びに切削や研削など一連の加工を行っている。
タクシー業界の会社,物流事業を展開するメイホグループのタクシー事業を担うグループ会社である。また、観光や修学旅行を対象とした貸切バスや、射水市における路線バス事業も手掛ける。その他、訪問介護事業にも取り組み、コミュニティバスの運営を行う。
金属部品製造業界の会社,工作機械部品や船舶内燃機部品、及び製材機械部品などに使用する鋳造製品の製造を行う。また、普通鋳鉄や球状黒鉛鋳鉄、及びダグタイル鋳鉄の技術によって、JIS規格に対応した鋳造製品の製造が可能である。
高齢者向け福祉業界の会社,「あさか訪問介護事業所」「大和田居宅介護支援事業所」などの運営を手掛ける。また、福祉用具のレンタルや住宅のバリアフリー工事も行う。その他、介護タクシーによる移送サービスや訪問入浴サービスなども請け負う。
金属部品製造業界の会社,プラス加工により、蝶番や建築金物およびトラックのアオリ部品などの製造を手掛ける。また、果樹園用金物やハードディスクボックスなども取り扱う他、金型の製造にも取り組む。
ホテル・旅館業界の会社,広島駅前で3館のホテル「広島インテリジェントホテル」を運営している。宿泊をはじめ、食事や会議および宴会や結婚式に使用できる。また、広島県や愛媛県および岡山県でオフィスビルや貸し会議室の運営もしている。
警備業界の会社,神奈川県横浜市を拠点として警備業務などを行う。
ゴルフ場業界の会社,神奈川県愛甲郡にあるゴルフ場である「清川カントリークラブ」を運営および管理を行う。また、施設内のレストランや土産物店の運営も手掛ける。
Webサービス・アプリ運営業界の会社,法人個人を問わず職人や工事会社を繋ぎ、工事の受発注が行える建設事業者マッチングサービス「助太刀」の運営を手掛ける。工事代金の支払受取や労災保険の加入、ならびに工具の購入や修理、レンタルなども、アプリ内サービスとして提供を行う。また、建設業界の求人を取り扱う求人サイト「助太刀社員」の運営にも携わる。
自動車部品・カー用品製造業界の会社,自動車鋳物部品の鋳造を取扱い、ディスクローターやオイルポンプなどを製造する。またドアビームなどのプレス部品の生産も行う。
金属部品製造業界の会社,ダイカスト加工やフライス加工および鍛造により、歯切り加工品やマシニング加工品、シャフトなどの製造および卸売を行っている。また、鍛造製品や鋳物製品、真鍮製品も取り扱う他、農業用機械部品や建設用機械部品も手掛ける。
自動車部品・カー用品製造業界の会社,神奈川県鎌倉市を拠点に、ディーゼルエンジンの燃料噴射用ノズルを取り付けるロアボディやノズルホルダーボディの製造を手掛ける。
ホテル・旅館業界の会社,秘湯の宿「滝見苑」の運営を手掛ける。レストランやラウンジ、売店などを併設することが特徴。また、日帰り温泉施設「もみの木」の運営や炭火焼バーベキュー施設「個室炭火焼肉 すみとろ 」の運営も展開する。その他、ゴルフ場の運営も手掛ける。
タクシー業界の会社,株式会社日の丸リムジンは、タクシーやハイヤー事業などを中心に展開する旅客輸送会社である。多種の車を導入していることが強みで、近年では電気ステラ自動車の導入も行っている。法人向けだけではなく個人向けの観光バスの予約にも対応している。
高齢者向け福祉業界の会社,有料介護付き老人ホーム「グリーン・ヴィラペリデ長田」や「シーサイド・ヴィラペリデ下川原」「ペリデアネックス」の運営を行う。また居宅介護支援施設の「ケアマネジメントペリデ新通」も手掛ける。施設専属のプロの料理人が毎日手作りで食事の提供を行うのが特徴である。
タクシー業界の会社,兵庫県尼崎市でタクシーを運行する。
警備業界の会社,愛知県や近県エリアの建設現場並びに道路工事現場の交通誘導警備を請け負っている。また、事務所や飲食店などで施設警備も行う。イベント会場での雑踏警備などにも携わっている。
ホテル・旅館業界の会社,混浴大露天風呂をはじめ、丸太露天風呂や露店岩風呂などの温泉を持つ宿である「温泉だいいち」の運営を行う。施設には、マッサージルームおよびリラクゼーションルームなどを備える。
自動車部品・カー用品製造業界の会社,自動車の機能部品となる引張ばねやねじりばね、圧縮ばねを製造している。また、ばね成形の応用技術で銅線ワイヤー製品の加工もしており、HV自動車のモータ関連部品の製造も行う。その他、計測機器関連や建築土木関連のばね製品の製造も可能である。
自動車部品・カー用品製造業界の会社,エンジンルーム内やブレーキ部品など自動車の基礎部品の加工を行っている。切削機やNC旋盤による金属加工を手掛ける。
Webサービス・アプリ運営業界の会社,様々なジャンルの店舗の情報に店舗利用者による評価や口コミを付加して発信する消費者生成メディアサイトである「エキテン」の運営を中心としたインターネットメディア事業を手掛ける。また、サイトを利用するユーザーに対して店舗検索やランキングをはじめとしたサービスの提供を行う他、サイトにて他のアドネットワーク事業者が配信する広告の掲載などにも対応する。その他、ITオフショア開発にも取り組んでおり、「カード・名刺作成アプリ」や、「ヘルスケア・コンディション管理アプリ」などの開発を手掛ける。
金属部品製造業界の会社,アルミやステンレスおよびチタンなどの材料を用いて、研磨加工や切削加工などの金属部品の加工を行う。また、プラスチック成形や金属射出成形などに使用する金型の設計や製作を手がける。
高齢者向け福祉業界の会社,介護が必要な認知症患者を対象とした複合型介護施設「ケアセンター和が家」の運営を行う。主にデイサービスやグループホーム、介護相談の業務を請け負う。食事や入浴といった身の回りのサポートや機能訓練など様々な介護サービスを提供している。
