タイトル,リスクスコア,要約,本文
神戸市北区で工場火災　集じん機や煙突付近から炎が上がる,45,１９日午前１１時半ごろ、神戸市北区道場町の富士チタン工業神戸工場で工場火災が発生。集じん機や煙突付近から炎と黒煙が上がり、消防車が鎮火まで５時間かかった。けが人はなし。原因調査中。,　１９日午前１１時半ごろ、神戸市北区道場町の富士チタン工業神戸工場の煙突付近から黒煙が上がっていると、通行人から１１９番があった。消防車が出動し、約５時間後に鎮火した。　神戸市消防局によると、当時、工場は稼働中で集じん機（高さ１５メートル）や煙突（高さ２０メートル）付近から炎が上がり、関連配管などに延焼した。けが人はなかった。同局が原因をなどを調べている。
スレッズ投稿「お金に困っている人に5億円あげる」に「いいね」押したら…高砂の女性が詐欺被害,50,兵庫県高砂市に住む52歳のパート女性が、交流サイトで知り合った相手に1万9千円分の電子マネー利用権をだまし取られる詐欺被害が発生。,　交流サイト（ＳＮＳ）のスレッズで知り合った何者かに計１万９千円分の電子マネー利用権をだまし取られたとして、兵庫県高砂市に住むパート女性（５２）が１８日、県警高砂署に被害を届け出た。
甲子園球場前の高架下で警備員に暴行疑い、50歳男を現行犯逮捕　泥酔し、試合終了後に暴れる,40,兵庫県西宮市の甲子園球場前の高架下で、50歳の男が試合終了後に警備員に暴行し、現行犯逮捕された。男は泥酔状態で、警備員に殴打したと容疑を否認している。,　阪神甲子園球場（兵庫県西宮市）前の高架下で警備員を殴ったとして、兵庫県警甲子園署は１８日、暴行の疑いで尼崎市の職業不詳の男（５０）を現行犯逮捕した。　逮捕容疑は同日午後６時半ごろ、西宮市甲子園洲鳥町の高架下で、警備員男性（５７）の頰を殴った疑い。「知らない。覚えていない」と容疑を否認しているという。　この日はプロ野球阪神対中日戦のデーゲームが甲子園球場で行われていた。同署によると、男はかなり泥酔し、試合終了後に暴れていたため、警備員の男性らが阪神甲子園駅の方へ歩くよう促していたという。
投資に関する動画をクリック→LINEグループに誘われ→410万円詐欺被害　三田の62歳女性,61,16日、兵庫県三田市で介護士の62歳女性が投資詐欺に遭い、現金410万円をだまし取られた。,　１６日、三田市内の介護士の女性（６２）が、「投資名目で現金４１０万円をだまし取られた」と三田署に届け出た。同署は詐欺事件として調べる。
性風俗店を禁止地域で営業した疑い、経営者の夫婦逮捕　姫路署,45,兵庫県姫路市で、禁止地域で性風俗店を経営した疑いで、自称無職の男（35歳）と自称飲食店経営の女（31歳）が逮捕された。店舗型性風俗特殊営業が禁止されている地域に店舗があるにも関わらず、性的サービスを提供した疑いがかけられている。被害状況として、女性従業員からの相談によりトラブルが浮上した。,　性風俗店を禁止地域で営業したとして、兵庫県警姫路署は１８日、風営法違反（禁止地域営業）の疑いで、姫路市、自称無職の男（３５）と、妻の自称飲食店経営の女（３１）を逮捕した。署の調べに男は「店が性的なサービスをするように強要したことはない」、女は「性的サービスをするようにとは言っていない」と話しているという。　逮捕容疑は１月１５日午後５～８時ごろ、２人が経営する個室マッサージ店「ＮｉｃｏＳｐａ（ニコスパ）」が県条例で店舗型性風俗特殊営業が禁止されている地域内にあるのに、店内で女性従業員に男性客への性的サービスを提供させた疑い。　署によると、１月下旬ごろ、同店の女性従業員から「経営者とトラブルになった」と署に相談があり、同店が性的サービスを提供している可能性が浮上したという。
SNSで好意、投資勧められ　2135万円分の暗号資産をだまし取られる　神戸の46歳男性が詐欺被害,61,神戸市西区に住む46歳の男性会社員が、SNSで知り合った女性から2135万円相当の暗号資産をだまし取られる被害に遭った。,　交流サイト（ＳＮＳ）で知り合った女性に２１３５万円相当の暗号資産（仮想通貨）をだまし取られたとして、神戸市西区に住む会社員の男性（４６）が１７日、兵庫県警神戸西署に被害を届け出た。
JR西明石駅で快速電車の床下から煙　運行取りやめ乗客300人が下車　停車中、車掌が気づく,40,20日午前11時25分ごろ、JR神戸線西明石駅で停車中の米原発加古川行き下り快速電車の床下から煙が出て車掌が気づき、乗客約300人が駅で下車させられた。けが人や体調不良者はいないという。原因は調査中。,　２０日午前１１時２５分ごろ、ＪＲ神戸線西明石駅（兵庫県明石市小久保２）で、停車中の米原発加古川行きの下り快速電車床下から煙が出ているのに車掌が気付き、指令所に連絡した。　ＪＲ西日本は安全確認のために同電車の運行を取りやめ、乗客約３００人を駅で降ろした。けが人や体調不良者はいないという。　同社によると、車掌は駅到着後、ドア開閉などのためホームに出た際に車両最後尾で煙を見た。煙はその後に収まったが、後続列車４本に最大１２分の遅れが出た。原因は調査中という。
スレッズの副業紹介からLINEに誘導　神戸の20代女性、指示され購入した暗号資産だまし取られる,76,神戸市西区に住む28歳のパート女性が交流サイトを通じて知り合った相手から188万円相当の暗号資産をだまし取られ、兵庫県警に被害を届けた。,　交流サイト（ＳＮＳ）を通じて知り合った何者かに１８８万円相当の暗号資産（仮想通貨）をだまし取られたとして、神戸市西区に住むパートの女性（２８）が１９日、兵庫県警神戸西署に被害を届けた。
たつのの民家敷地内で不審火　庭の壁際でタオルから煙、住民が消火,35,兵庫県たつの市新宮町下野の民家敷地内で、タオルから煙が出る不審火が発生。幸いけが人はなく、住民が消火した。出火原因は調査中。,　１９日午後８時過ぎ、兵庫県たつの市新宮町下野の民家敷地内で、煙が出ているタオルが見つかり、住民の男性（４６）が１１０番した。けが人はなかった。　兵庫県警たつの署によると、タオルは３０～４０センチ四方で、家の中にいた親族の男性（４３）が見つけた。タオルは庭の壁際に置いてあり、住民が消火した。　周囲に火の気はなく、同署が出火原因を調べている。
JR神戸線の東姫路駅で新快速と人が接触　宝殿－姫路間が上下線で一時運転見合わせ,75,17日午後8時55分ごろ、JR神戸線東姫路駅で新快速電車と人が接触し、宝殿－姫路間で一時運転を見合わせる事故が発生。運休した列車は計8本で、最大約1時間35分遅れと約9500人に影響を及ぼす。同日午後10時半ごろ、運転が再開された。,　１７日午後８時５５分ごろ、ＪＲ神戸線東姫路駅（兵庫県姫路市市之郷）の線路内で、網干発米原行き新快速電車と人が接触した。　ＪＲ西日本によると、同線の宝殿－姫路間で一時運転を見合わせた。上下線で計８本が運休し、計１９本が最大約１時間３５分遅れ、約９５００人に影響した。　同日午後１０時半ごろ運転を再開した。
